Name,Company,Position,LinkedIn 
Merav Weinryb,Sunvest Capital Partners,Founder & Managing Partner,https://www.linkedin.com/in/merav-weinryb-00332
Cagri Bozay,Musixen,Founder & CEO,https://www.linkedin.com/in/cagribozay
Rami Lachter,Flare,Co-founder,https://www.linkedin.com/in/ramilachter
Tuelin Karabuek,Birdcage33,Founder Birdcage33,https://www.linkedin.com/in/tulinkarabuk
Merve Gurel,Kolektif House,Growth Manager at AnalyticaHouse,https://www.linkedin.com/in/merve-gurel-73920383
Samet Celik,TOBB,Digital Transformation Consultancy,https://www.linkedin.com/in/sametcelik
Guy Zipori,Melio Payments,VP R&D,https://www.linkedin.com/in/guyzipori
Danny Ochieng,YALI Regional Leadership Center East Africa,"Founder, CEO",https://www.linkedin.com/in/dannyochieng
Daniel Mor,Lumen,Co-Founder & CEO,https://www.linkedin.com/in/danieltal
Hasan Erendemir,Hälsa Sängar AB,Chairman Of The Board,https://www.linkedin.com/in/hasan-erendemir-8b99a31
Karim Beshara,A15,GP,https://www.linkedin.com/in/karimbeshara
Berke Birben,BRK Metal Hassas Döküm (Investment Casting),Materials And Process Engineer,https://www.linkedin.com/in/berke-birben-402670189
Ahmad Shehada,Facebook,"Government Vertical Partner Manager, Middle East and North Africa (MENA)",https://www.linkedin.com/in/ahmad-shehada-298501
Sharon Besser,Guardicore,Chief Product Officer,https://www.linkedin.com/in/besser
Shahar Bin-Nun,Tactile-Mobility,Chief Executive Officer,https://www.linkedin.com/in/shahar-bin-nun-23a30aa
Gili Raanan,Cyberstarts,Cyberstarter,https://www.linkedin.com/in/giliraanan
Bruno Massera,Rural Ventures,General Partner,https://www.linkedin.com/in/brunomassera
Micha Shahaf,WAVE BL,Chief Financial Officer,https://www.linkedin.com/in/micha-shahaf-11297032
Dalya T.,CRYSP VERTICAL FARMS,Board Advisor,https://www.linkedin.com/in/dalya-t-4b41a54
Boaz Zilber,Cynet,Member,https://www.linkedin.com/in/boaz-zilber-3a5609
Farouk Jivani,Zeroe,Founder & CEO,https://www.linkedin.com/in/faroukjivani
Yaron Rosenbaum,,"CEO, Founder",https://www.linkedin.com/in/yaronr
Haim Greenberg,HARBO Technologies Ltd,Co-Founder Board Member,https://www.linkedin.com/in/haim-greenberg-5a75111a
Ayhan B.,Sovos,Vice President Product Management,https://www.linkedin.com/in/ayhanboyacioglu
Amer Alaily,,Mubadala Capital | Ventures,https://www.linkedin.com/in/amer-alaily-8793844
Erhan Celik,Athena Bilgi Teknolojileri,Founder,https://www.linkedin.com/in/erhancelik
Mustafa Yildiz,Reckitt,Assistant Brand Manager - Health,https://www.linkedin.com/in/mburakyildiz
Matthew Fct,Mubadala,Executive Director - CFO Alternative Investments & Infrastructure,https://www.linkedin.com/in/matthew-hurn-fcma-cgma-fct-aab89b6
Noam Aharon,Art by Noam,Artist,https://www.linkedin.com/in/noam-aharon-504760108
Leon Vaidman,Agora RE,Private Investor,https://www.linkedin.com/in/leonv
Hamed Alkarbi,Takaful Emarat,Board Member,https://www.linkedin.com/in/hamed-ahmed-omar-salem-alkarbi-482b211b2
Bora Kocyigit,Papara SuperMassive,CEO / Co-Founder,https://www.linkedin.com/in/bora-kocyigit-6baa0413
Shai Wininger,Lemonade,"Tech Entrepreneur. Co-Founder, CEO @ Lemonade (NYSE:LMND), Co-Founder",https://www.linkedin.com/in/shaiwininger
Tal Slobodkin,StageOne Ventures,Managing Partner,https://www.linkedin.com/in/slobodkin
Itzik Oliver,Bank Hapoalim בנק הפועלים,Head Of Cyber Security Products Team,https://www.linkedin.com/in/itzik-oliver-5395902a
David Reche,Careem,Co-Founder,https://www.linkedin.com/in/davidreche
Funda Sezgin,Great Place to Work®,Regional VP/ Consultant,https://www.linkedin.com/in/fundasezgin
Raffi Margaliot,Incredibuild,Board Advisor,https://www.linkedin.com/in/raffimargaliot
Oguz Aşıcı,ASC GRUP,Chairman,https://www.linkedin.com/in/oguzasici
Yuval Elovici,Ben-Gurion University of the Negev,Head of Ben-Gurion University Cyber Security Research Center,https://www.linkedin.com/in/yuval-elovici-0baa4a4
