VC Firm name,Website,Contact,Global HQ,Countries of investment,Stage of investment
500 Global,https://500.co/,Vist website,"814 Mission Street, San Francisco, CA 94103","USA,Mexico,India,Pakistan,Colombia,Brazil,Afghanistan,Albania,Algeria,Angola,Andorra,Antigua and Barbuda,Armenia,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,UK,Ukraine,UAE,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe","2. Prototype,3. Early Revenue,4. Scaling,5. Growth"
Deosai Ventures,https://www.deosai.vc/,Vist website,"Islamabad, Pakistan","USA,Pakistan,UAE","2. Prototype,3. Early Revenue,1. Idea or Patent"
Doha Tech Angels,http://www.dta.qa/,Vist website,"D Ring Road, Building No 131, Doha, PO BOX 2116, QA","Qatar,UAE,Saudi Arabia,Kuwait,Oman,Egypt,Pakistan,Singapore,India,Bangladesh,USA","3. Early Revenue,4. Scaling,5. Growth"
Sheesha Finance,https://www.sheeshafinance.io/,Vist website,"ALMAS-48-CV34 ALMAS Tower Plot, JLT-PH1-A0 Jumeirah Lakes Towers, Dubai, United Arab Emirates","Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,UAE,Uganda,UK,Ukraine,Uruguay,USA,Uzbekistan,Vanuatu,Venezuela,Vietnam,Zambia,Zimbabwe","5. Growth,4. Scaling,6. Pre-IPO"
Foundation Ventures,https://www.foundationventures.com,Vist website,"23a Ismail Mohamed Street, El Zamalek, Cairo EG","Egypt,Jordan,UAE","3. Early Revenue,4. Scaling"
Rebel Capital,https://www.rebel.vc/,Vist website,"New York, NY","USA,Argentina,Mexico,Colombia,Brazil,Canada,Chile,France,UK,South Korea,Vietnam,Japan,UAE,Israel,New Zealand,Australia","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling"
Aezist,https://www.aezist.com/,Vist website,"78 SW 7th St, Miami, FL 33130","USA,Austria,Mexico,Colombia,Peru,Brazil,France,UK,Spain,Switzerland,Sweden,Norway,Germany,Poland,South Africa,Nigeria,UAE,Hong Kong,Israel,Estonia,Japan,Ecuador,Italy,Georgia,Canada","1. Idea or Patent,2. Prototype,3. Early Revenue"
Flucas Ventures,https://www.flucasvc.com/,Vist website,"Palm Beach, Florida, USA","USA,Nigeria,Mexico,Colombia,Brazil,India,Pakistan,Ghana,South Africa,Kenya,Canada,Israel,UAE,Egypt,Morocco","3. Early Revenue,2. Prototype,4. Scaling,1. Idea or Patent"
YAP Capital,https://www.yapcapital.ventures/,Vist website,Munich,"Germany,France,Italy,UK,Norway,South Africa,Central African Republic,USA,Singapore,Saudi Arabia,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,Gabon,Gambia,Georgia,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Senegal,Serbia,Russia,Seychelles,Sierra Leone,Slovakia,Slovenia,Solomon Islands,Somalia,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,UAE,Uganda,Ukraine,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe",3. Early Revenue
OTF,https://www.otf.om/,Vist website,"Knowledge Oasis Muscat, Building #5, Muscat, Oman","Algeria,Bahrain,Egypt,Iraq,Jordan,Kenya,Kuwait,Lebanon,Lybia,Morocco,Oman,Pakistan,Qatar,Saudi Arabia,Sudan,Syria,Palestine,Tanzania,UAE,Uruguay","3. Early Revenue,4. Scaling,5. Growth"
Brinc,https://www.brinc.io/,Vist website,"7F Floor Block A PMQ, 35 Aberdeen St, Central, Hong Kong","South Africa,Brazil,Canada,Mexico,USA,China,Hong Kong,India,Philippines,Singapore,Thailand,Vietnam,Austria,Germany,Italy,Spain,Switzerland,UK,Ukraine,Bahrain,Turkey,UAE,Australia","4. Scaling,5. Growth,6. Pre-IPO,3. Early Revenue"
d.ventures,https://d.ventures/,Vist website,"Krotenthallergasse 8, 1080 Vienna, Austria","Germany,Austria,Switzerland,UAE,USA,Canada,Spain,France,Denmark,Netherlands,Sweden,Belgium,Italy,Finland,Norway,UK,Bulgaria","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO"
dlab,https://dlab.vc/,Vist website,"New York, NYC US","Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo (Congo-Brazzaville),DRC Congo,Côte d'Ivoire,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritius,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,Tanzania,Togo,Uganda,Zambia,Zimbabwe,Antigua and Barbuda,Argentina,Bahamas,Barbados,Belize,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Dominica,Dominican Republic,Ecuador,El Salvador,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Paraguay,Peru,Sant Kitts and Nevis,Sant Lucia,Saint Vincent and the Grenadines,Suriname,Trinidad and Tobago,USA,Uruguay,Venezuela,Afghanistan,Azerbaijan,Bangladesh,Bhutan,Cambodia,China,Hong Kong,India,Indonesia,Japan,Kazakhstan,Kyrgyzstan,Laos,Malaysia,Maldives,Mongolia,Myanmar,Nepal,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Tajikistan,Thailand,Timor-Leste,Turkmenistan,Uzbekistan,Vietnam,Albania,Andorra,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine,Algeria,Bahrain,Djibouti,Egypt,Iraq,Israel,Jordan,Kuwait,Lebanon,Lybia,Mauritania,Morocco,Oman,Palestine,Qatar,Saudi Arabia,Sudan,Tunisia,Turkey,UAE,Yemen,Australia,Fiji,Kiribati,Marshall Islands,Micronesia,New Zealand,Palau,Papua New Guinea,Samoa,Solomon Islands,Tonga,Tuvalu,Vanuatu","1. Idea or Patent,2. Prototype,3. Early Revenue"
Ischyros New York,https://www.ischyrosnewyork.com/,Vist website,"The Clubhouse Mayfair, 50 Grosve, Grosvenor Hill, London, W1K 3QT","Argentina,Austria,USA,UAE,India,Japan,Australia,UK,France,Germany,Brazil,Denmark,Israel,Saudi Arabia,Bahrain","3. Early Revenue,2. Prototype,1. Idea or Patent"
Meta3Ventures,http://www.meta3ventures.com/,Vist website,"121 Menachem Begin, Tel Aviv, Israel","Israel,UK,USA,UAE",3. Early Revenue
Alecla7,https://www.alecla7.com/,Vist website,"Corso Venezia 54, Milan, Italy","Argentina,Brazil,Chile,Mexico,USA,India,Indonesia,Singapore,France,Germany,Italy,Spain,Sweden,UK,Israel,UAE","3. Early Revenue,4. Scaling,5. Growth"
DH Ventures (Delivery Hero Ventures),https://dhventures.vc/,Vist website,"Oranienburger Str. 70, 10117 Berlin, Germany","Argentina,Vietnam,Austria,Brazil,Egypt,Thailand,Colombia,Malaysia,Singapore,Germany,Pakistan,Cambodia,Uruguay,UAE,Turkey,South Korea,Hong Kong,USA,UK,Chile,Greece,Sweden,Portugal,Spain,Hungary,Finland,Taiwan,Saudi Arabia,Philippines,Peru","2. Prototype,3. Early Revenue"
HubSpot Ventures,https://www.hubspot.com/ventures,Vist website,"25 First St, Cambridge, MA 02141","USA,Argentina,Australia,Austria,Belgium,Brazil,Canada,Estonia,Liechtenstein,Malawi,Mozambique,Tunisia,Slovenia,Zambia,Vietnam,Uruguay,Ukraine,UK,Iceland,Kenya,Lebanon,Kuwait,Luxembourg,France,Greece,Jordan,Israel,Hungary,Hong Kong,Lithuania,Indonesia,Mexico,Nepal,Pakistan,Nigeria,Japan,Italy,Netherlands,Norway,Panama,Senegal,New Zealand,Poland,Philippines,Singapore,Slovakia,Taiwan,Morocco,South Africa,UAE,Thailand,Tanzania,Switzerland,Sweden,Spain,South Korea,Chile,Colombia,Costa Rica,Czech Republic,Croatia,Denmark,Ecuador,Finland,Germany,India,Ireland,Peru,Portugal,Romania,Rwanda",3. Early Revenue
CIG,https://cig.vc/en,Vist website,"Tower 101, Kyiv, Ukraine","Austria,UK,Ukraine,Poland,Czech Republic,Slovenia,Slovakia,Germany,Israel,France,Portugal,Belgium,Brazil,Bulgaria,Canada,USA,Cyprus,Croatia,Denmark,Estonia,Latvia,Lithuania,Finland,Turkey,Greece,Iceland,Ireland,Italy,Luxembourg,Monaco,Moldova,Montenegro,Netherlands,Norway,Romania,Qatar,UAE,Spain,Sweden,Switzerland",2. Prototype
Aperitivo,https://aperitivo.vc,Vist website,"Avinguda Diagonal, 606, 08021 Barcelona","Afghanistan,Albania,Zimbabwe,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominican Republic,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Ecuador,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,UAE,Uganda,UK,Ukraine,Uruguay,USA,Uzbekistan,Vanuatu,Venezuela,Vietnam,Belize,Dominica,Yemen,Zambia","1. Idea or Patent,2. Prototype,3. Early Revenue"
Palindrome Capital,https://www.palindrome-capital.com/,Vist website,Luxembourg,"Australia,Austria,Bahrain,Belgium,Brazil,Bulgaria,France,Luxembourg,UK,Ireland,Spain,Portugal,Italy,UAE,Sweden,Switzerland,Botswana,Norway,South Africa,South Korea,Hong Kong,Monaco,Netherlands,USA,Cyprus,Japan,New Zealand,Germany,Singapore,Turkey,Saudi Arabia,Croatia,Czech Republic,Greece,Canada,Mexico,Estonia,Lithuania,Latvia,Finland,Denmark,Liechtenstein,Qatar,Romania","3. Early Revenue,4. Scaling"
Prepare 4 VC,http://prepare4vc.com,Vist website,"100 State Street, FL 11, Boston, MA 02109","Ghana,Kenya,South Africa,Argentina,Brazil,Canada,Chile,Mexico,Peru,Trinidad and Tobago,USA,India,Singapore,Denmark,France,Germany,Switzerland,UK,Israel,Turkey,UAE",1. Idea or Patent
