VC Firm name,Website,Contact,Global HQ,Countries of investment,Stage of investment
Eureeca Ltd,https://www.eureeca.com/,Vist website,"Dubai, UAE","UK,UAE","5. Growth,4. Scaling,6. Pre-IPO"
Homegrown CPG,https://homegrowncpg.com/,Vist website,"Dubai, United Arab Emirates","UAE,Saudi Arabia,India,Tunisia,Morocco,Qatar,Oman,Bahrain","3. Early Revenue,4. Scaling"
yard[hub],https://yardhub.tech/,Vist website,"DIFC, innovation hub, Dubai, UAE","Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo (Congo-Brazzaville),DRC Congo,Côte d'Ivoire,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritius,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,Tanzania,Togo,Uganda,Zambia,Zimbabwe,Antigua and Barbuda,Argentina,Bahamas,Barbados,Belize,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Cuba,Dominica,Dominican Republic,Ecuador,El Salvador,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Paraguay,Peru,Sant Kitts and Nevis,Sant Lucia,Saint Vincent and the Grenadines,Suriname,Trinidad and Tobago,USA,Uruguay,Venezuela,Afghanistan,Azerbaijan,Bangladesh,Bhutan,Cambodia,China,Hong Kong,India,Indonesia,Japan,Kazakhstan,Kyrgyzstan,Laos,Malaysia,Maldives,Mongolia,Myanmar,Nepal,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Tajikistan,Thailand,Timor-Leste,Turkmenistan,Uzbekistan,Vietnam,Albania,Andorra,Armenia,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine,Algeria,Bahrain,Djibouti,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Lybia,Mauritania,Morocco,Oman,Palestine,Qatar,Saudi Arabia,Sudan,Syria,Tunisia,Turkey,UAE,Yemen,Australia,Fiji,Kiribati,Marshall Islands,Micronesia,New Zealand,Palau,Papua New Guinea,Samoa,Solomon Islands,Tonga,Tuvalu,Vanuatu","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling"
Truleum Venture Partners Limited,https://truleumventures.com,Vist website,"DIFC, Dubai, United Arab Emirates","UAE,Saudi Arabia,Oman,Kuwait","1. Idea or Patent,2. Prototype,3. Early Revenue"
Select Venture Equity,https://selectvc.com/,Vist website,"Dubai, United Arab Emirates","Saudi Arabia,UAE,Kuwait,Qatar,Bahrain,Singapore,Philippines,Malaysia,Egypt","3. Early Revenue,2. Prototype,4. Scaling,1. Idea or Patent"
Khaled Bartawi,,Vist website,"Dubai, UAE",USA,3. Early Revenue
Phoenix Venture Partners Ltd.,https://pvp-me.com/,Vist website,"Al Maryah Island, ADGM square, Al Maqam Tower, 34th floor, Office 3415, Abu Dhabi, UAE","Kuwait,Saudi Arabia,UAE,Bahrain,Oman,Lebanon,Jordan,Egypt,Algeria,Morocco,USA,Canada,Argentina,Australia,Brazil,China,France,Germany,India,Indonesia,Italy,Japan,South Korea,Mexico,South Africa,Turkey,UK","3. Early Revenue,4. Scaling,5. Growth"
Kassam Investments LLC,,Vist website,"Office 105C, Burj Daman, DIFC, Dubai, UAE","UK,USA","4. Scaling,5. Growth,6. Pre-IPO,3. Early Revenue"
Jonathan Janik,,Vist website,"Dubai, UAE",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO"
Mehmet Gonullu,,Vist website,"Dubai, UAE","Kenya,South Africa,Tanzania,Bahrain,Djibouti,Egypt,Iraq,Jordan,Kuwait,Lebanon,Morocco,Oman,Palestine,Qatar,Saudi Arabia,Tunisia,Turkey,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue"
10K Ventures,https://www.10kventures.co/,Vist website,"Berlin, Germany","Kenya,Nigeria,Brazil,Colombia,Mexico,India,Indonesia,Philippines,Singapore,Vietnam,France,Germany,Spain,UK,Egypt,Israel,UAE","3. Early Revenue,2. Prototype,1. Idea or Patent"
212 VC,https://212.vc/,Vist website,"Uvez Sokak, No:5, Arnavutkoy, Besiktas, Istanbul 34345, TR","Turkey,Romania,Albania,Azerbaijan,Bosnia-H,Bulgaria,Czech Republic,Lithuania,Serbia,Uzbekistan,UAE,Ukraine,Turkmenistan,Poland,Qatar,Hungary",3. Early Revenue
CE Ventures,https://www.crescententerprises.com/ce-ventures/,Vist website,"Crescent House, P.O Box 2222, Corniche Al Buhaira, Sharjah, AE","UAE,USA,India,Indonesia,Singapore,Saudi Arabia,Egypt","3. Early Revenue,4. Scaling,5. Growth"
